Source,Target
AT519027A1,AU2014-287199B2
AT519027B1,AU2013-315603B2
AU2009-339275B2,AU2012-365103B2
AU2010-241272B2,AU2012-285550B2
AU2010-345083B2,AU2012-285550B2
AU2012-285550B2,AU2010-345083B2
AU2012-285550B2,AU2010-241272B2
AU2012-365103B2,AU2009-339275B2
AU2013-315603B2,AT519027B1
AU2014-287199B2,AT519027A1
