PatentNo,CitedLink,LensID
US4392531A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:126-777-582-623-939,126-777-582-623-939
US6271766B1,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:170-337-451-588-818,170-337-451-588-818
US5758514A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:148-779-952-165-54X,148-779-952-165-54X
US5272879A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:018-284-218-744-872,018-284-218-744-872
US4909336A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:001-988-285-239-508,001-988-285-239-508
US3914994A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:018-320-901-567-095,018-320-901-567-095
US4945775A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:107-526-262-841-878,107-526-262-841-878
US5723781A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:060-661-059-920-78X,060-661-059-920-78X
US2012-0111560A1,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:183-125-093-765-016,183-125-093-765-016
US5151660A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:160-651-763-114-884,160-651-763-114-884
US7221164B1,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:039-469-421-667-828,039-469-421-667-828
JP2006125769A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:095-770-048-811-011,095-770-048-811-011
US6544691B1,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:068-887-823-650-053,068-887-823-650-053
WO2010-136764A2,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:148-042-330-644-486,148-042-330-644-486
CN1414283A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:044-318-588-558-298,044-318-588-558-298
US2010-0314118A1,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:177-669-636-464-737,177-669-636-464-737
US4023136A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:073-430-896-649-353,073-430-896-649-353
US5396966A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:188-517-478-118-420,188-517-478-118-420
US2004-0159149A1,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:187-173-818-179-279,187-173-818-179-279
US2006-0037782A1,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:146-704-761-576-363,146-704-761-576-363
US2008-0093125A1,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:110-823-784-369-119,110-823-784-369-119
WO1998-012417A1,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:009-066-910-999-757,009-066-910-999-757
US2010-0032207A1,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:189-659-170-077-001,189-659-170-077-001
US2005-0086998A1,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:040-584-016-694-522,040-584-016-694-522
JP2006292310A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:151-813-146-707-011,151-813-146-707-011
CN102487754A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:184-165-345-282-989,184-165-345-282-989
CN204553662U,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:137-046-720-554-696,137-046-720-554-696
US3988896A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:054-512-867-448-552,054-512-867-448-552
US8356667B2,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:171-380-549-682-685,171-380-549-682-685
US2013-0231787A1,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:187-762-882-396-273,187-762-882-396-273
CN201593387U,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:154-335-358-042-977,154-335-358-042-977
US4739647A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:001-861-895-781-435,001-861-895-781-435
US6853798B1,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:116-765-165-742-629,116-765-165-742-629
US6351987B1,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:177-162-299-017-123,177-162-299-017-123
US2009-0065255A1,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:045-258-301-291-149,045-258-301-291-149
US4523465A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:145-891-032-904-152,145-891-032-904-152
US7100689B2,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:113-667-060-767-231,113-667-060-767-231
CN102039791A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:099-338-210-136-601,099-338-210-136-601
CN101196872A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:094-207-737-350-194,094-207-737-350-194
US2005-0167161A1,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:148-034-770-914-582,148-034-770-914-582
CN1731105A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:051-682-843-761-90X,051-682-843-761-90X
US8950482B2,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:186-230-962-765-741,186-230-962-765-741
CN101738382A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:131-250-264-656-946,131-250-264-656-946
US4694914A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:143-269-016-661-290,143-269-016-661-290
US4107987A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:126-633-833-210-942,126-633-833-210-942
CN1538168A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:169-814-426-314-464,169-814-426-314-464
US8005640B2,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:133-770-369-985-588,133-770-369-985-588
US2011-0098938A1,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:083-148-765-978-062,083-148-765-978-062
US2010-0027235A1,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:126-145-883-218-739,126-145-883-218-739
US6318463B1,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:026-387-461-727-089,026-387-461-727-089
WO2006-089400A1,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:122-391-731-770-426,122-391-731-770-426
CN102764750A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:079-349-552-939-728,079-349-552-939-728
CN201340320Y,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:169-527-327-696-370,169-527-327-696-370
CN102954314A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:147-955-147-318-519,147-955-147-318-519
US2011-0125451A1,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:029-004-729-635-387,029-004-729-635-387
CN2542909Y,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:010-626-187-539-978,010-626-187-539-978
CN201836626U,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:182-802-711-567-295,182-802-711-567-295
US2013-0231781A1,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:126-393-787-178-047,126-393-787-178-047
US6049758A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:093-992-830-829-562,093-992-830-829-562
CN103982308A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:106-015-203-905-690,106-015-203-905-690
CN101255952A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:089-903-376-300-041,089-903-376-300-041
EP2858015A1,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:061-996-744-440-507,061-996-744-440-507
CN101561081A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:073-146-730-569-97X,073-146-730-569-97X
CN101519961A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:139-215-870-982-079,139-215-870-982-079
JP2014084857A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:063-653-929-126-66X,063-653-929-126-66X
US2010-0269501A1,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:104-587-238-232-095,104-587-238-232-095
CN101105155A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:035-838-831-075-054,035-838-831-075-054
US7647988B2,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:177-614-165-091-875,177-614-165-091-875
US2006-0191719A1,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:145-727-275-543-190,145-727-275-543-190
US2008-0083565A1,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:075-902-911-448-636,075-902-911-448-636
US4691790A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:116-027-840-192-25X,116-027-840-192-25X
US4181468A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:157-505-840-272-154,157-505-840-272-154
US2015-0346017A1,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:032-012-038-160-747,032-012-038-160-747
CN103573250A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:032-792-016-072-148,032-792-016-072-148
US2011-0174537A1,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:111-876-531-051-634,111-876-531-051-634
US7575047B2,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:097-128-479-259-77X,097-128-479-259-77X
US2012-0079880A1,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:084-174-763-922-677,084-174-763-922-677
CN101255951A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:097-604-745-811-438,097-604-745-811-438
CN2567548Y,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:185-927-705-616-255,185-927-705-616-255
US5320179A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:159-198-482-148-019,159-198-482-148-019
US2013-0228328A1,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:178-654-325-940-753,178-654-325-940-753
US9031797B2,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:173-431-046-050-555,173-431-046-050-555
CN101266198A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:012-339-774-376-473,012-339-774-376-473
CN102323027A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:027-944-997-131-043,027-944-997-131-043
CN106567997A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:026-995-490-340-886,026-995-490-340-886
CN101639538A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:161-055-229-239-201,161-055-229-239-201
CN103498662A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:170-188-054-492-621,170-188-054-492-621
US5121993A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:132-070-303-583-689,132-070-303-583-689
WO2007-104970A2,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:115-111-930-342-640,115-111-930-342-640
CN102063541A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:096-421-501-426-906,096-421-501-426-906
CN101109739A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:155-610-420-791-224,155-610-420-791-224
US2004-0011561A1,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:028-807-675-760-432,028-807-675-760-432
CN2574019Y,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:019-023-379-157-397,019-023-379-157-397
CN101226103A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:034-628-254-424-223,034-628-254-424-223
CN102345793A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:150-172-359-358-691,150-172-359-358-691
CN101976893A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:068-000-640-236-28X,068-000-640-236-28X
US5209297A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:182-312-161-457-355,182-312-161-457-355
WO2000-039532A1,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:187-586-890-516-327,187-586-890-516-327
WO1991-001481A1,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:034-567-535-493-149,034-567-535-493-149
CN201213027Y,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:096-181-965-461-558,096-181-965-461-558
CN103982179A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:077-393-197-533-840,077-393-197-533-840
CN101955761A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:181-691-489-770-536,181-691-489-770-536
US6769498B2,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:031-036-637-723-337,031-036-637-723-337
CN101915090A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:192-246-401-947-581,192-246-401-947-581
CN205746047U,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:159-354-227-186-570,159-354-227-186-570
CN102033041A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:131-302-813-923-667,131-302-813-923-667
CN106093135A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:045-445-195-131-515,045-445-195-131-515
US2006-0159154A1,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:006-664-215-819-284,006-664-215-819-284
US7195086B2,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:163-399-769-013-774,163-399-769-013-774
WO2009-037435A2,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:009-061-683-279-588,009-061-683-279-588
CN101476966A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:066-639-882-701-900,066-639-882-701-900
CN101324186A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:168-551-011-898-017,168-551-011-898-017
CN101995341A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:158-843-088-037-735,158-843-088-037-735
CN201779455U,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:043-999-319-569-378,043-999-319-569-378
CN201304984Y,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:075-411-429-826-663,075-411-429-826-663
CN2885632Y,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:003-436-099-973-554,003-436-099-973-554
CN102644459A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:160-954-977-943-758,160-954-977-943-758
CN2682411Y,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:024-853-024-467-381,024-853-024-467-381
CN102116754A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:029-045-398-561-205,029-045-398-561-205
CN101398349A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:172-037-560-230-67X,172-037-560-230-67X
CN102748017A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:050-125-111-060-894,050-125-111-060-894
US4736590A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:033-199-997-109-540,033-199-997-109-540
US8534069B2,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:135-923-429-064-500,135-923-429-064-500
CN201548707U,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:143-607-682-684-362,143-607-682-684-362
CN201911078U,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:132-722-822-119-977,132-722-822-119-977
CN103089306A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:117-174-840-506-040,117-174-840-506-040
US2005-0082091A1,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:084-686-017-781-98X,084-686-017-781-98X
CN103808406A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:004-959-335-550-107,004-959-335-550-107
CN102322908A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:012-439-456-227-745,012-439-456-227-745
CN101235716A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:165-195-332-846-384,165-195-332-846-384
CN1609563A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:112-553-603-160-689,112-553-603-160-689
CN201819992U,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:109-981-185-350-457,109-981-185-350-457
CN1904581A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:180-893-236-865-368,180-893-236-865-368
CN101858488A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:082-292-441-467-397,082-292-441-467-397
JP2009276029A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:090-542-876-078-453,090-542-876-078-453
GB2430493A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:028-131-919-437-416,028-131-919-437-416
JP2007309770A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:081-816-230-067-201,081-816-230-067-201
US2015-0113987A1,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:084-051-915-096-491,084-051-915-096-491
WO2012-107727A2,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:037-686-853-124-446,037-686-853-124-446
CN201294330Y,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:117-509-857-436-204,117-509-857-436-204
CN104062691A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:075-010-125-174-195,075-010-125-174-195
CN201382948Y,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:143-965-539-307-070,143-965-539-307-070
CN101260802A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:044-821-629-985-914,044-821-629-985-914
CN103335216A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:127-342-412-962-958,127-342-412-962-958
CN102494236A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:027-816-641-485-688,027-816-641-485-688
CN201242274Y,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:111-076-844-683-805,111-076-844-683-805
CN1410653A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:190-673-904-088-217,190-673-904-088-217
CN104792715A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:131-505-953-989-238,131-505-953-989-238
CN103471833A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:147-927-240-775-791,147-927-240-775-791
CN102345795A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:053-778-289-439-292,053-778-289-439-292
CN102705103A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:085-373-326-095-106,085-373-326-095-106
FR2817024A1,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:055-113-878-161-301,055-113-878-161-301
RU2211311C2,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:180-433-144-508-120,180-433-144-508-120
US2010-0124462A1,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:177-338-386-146-755,177-338-386-146-755
WO2007-112387A2,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:064-008-213-380-763,064-008-213-380-763
CN201497715U,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:052-358-954-130-758,052-358-954-130-758
CN102116749A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:173-120-762-722-027,173-120-762-722-027
CN1608719A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:115-724-043-199-720,115-724-043-199-720
CN104528627A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:149-320-461-172-435,149-320-461-172-435
CN101333924A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:162-694-833-612-401,162-694-833-612-401
CN101280680A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:035-898-203-014-474,035-898-203-014-474
CN202089758U,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:117-731-190-246-433,117-731-190-246-433
CN101363813A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:164-341-880-937-523,164-341-880-937-523
CN102353724A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:060-810-389-745-212,060-810-389-745-212
CN101262330A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:097-744-384-701-878,097-744-384-701-878
CN101226104A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:128-501-657-605-256,128-501-657-605-256
CN102519061A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:058-449-432-646-521,058-449-432-646-521
CN202886279U,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:028-471-584-789-356,028-471-584-789-356
CN201818297U,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:015-180-350-842-562,015-180-350-842-562
CN104101687A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:186-010-647-738-773,186-010-647-738-773
CN201854090U,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:074-509-105-814-024,074-509-105-814-024
EP1956239A1,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:194-136-923-335-844,194-136-923-335-844
CN103334726A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:099-344-192-423-033,099-344-192-423-033
JP2009236403A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:008-969-778-077-667,008-969-778-077-667
US2009-0211811A1,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:161-008-102-606-420,161-008-102-606-420
WO2009-022286A2,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:152-822-187-761-381,152-822-187-761-381
CN102283283A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:138-262-221-159-344,138-262-221-159-344
CN103867194A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:035-635-188-259-312,035-635-188-259-312
CN105275450A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:042-749-829-510-378,042-749-829-510-378
CN1178861A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:072-208-817-122-884,072-208-817-122-884
CN104988513A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:052-794-977-225-304,052-794-977-225-304
CN202582800U,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:055-128-272-848-733,055-128-272-848-733
CN2348358Y,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:091-266-113-989-10X,091-266-113-989-10X
CN103899290A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:089-051-340-498-060,089-051-340-498-060
CN202167132U,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:075-621-846-393-702,075-621-846-393-702
CN102673341A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:168-390-977-192-085,168-390-977-192-085
CN101349316A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:118-003-163-207-368,118-003-163-207-368
CN101968161A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:034-603-898-767-562,034-603-898-767-562
CN103697950A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:179-869-531-545-492,179-869-531-545-492
CN102120121A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:064-719-202-595-903,064-719-202-595-903
CN102854538A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:083-493-003-185-610,083-493-003-185-610
CN207359084U,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:075-468-662-620-079,075-468-662-620-079
CN201788092U,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:194-457-588-255-296,194-457-588-255-296
CN101865812A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:020-491-994-917-91X,020-491-994-917-91X
CN104749223A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:164-850-921-125-499,164-850-921-125-499
CN204405601U,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:015-402-956-027-635,015-402-956-027-635
CN104089985A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:182-058-351-423-77X,182-058-351-423-77X
CN104535063A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:034-940-197-068-467,034-940-197-068-467
CN101513988A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:075-304-201-220-274,075-304-201-220-274
CN101514940A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:094-356-605-280-357,094-356-605-280-357
CN2599580Y,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:066-157-258-333-786,066-157-258-333-786
CN103868799A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:076-053-511-130-832,076-053-511-130-832
CN102345796A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:104-436-299-062-87X,104-436-299-062-87X
CN102364046A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:007-388-071-611-051,007-388-071-611-051
CN105352696A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:132-608-960-416-321,132-608-960-416-321
CN2651718Y,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:104-185-184-627-283,104-185-184-627-283
CN106053882A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:132-668-017-171-41X,132-668-017-171-41X
CN103448893A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:052-531-251-106-707,052-531-251-106-707
CN102854122A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:001-118-587-960-174,001-118-587-960-174
CN202948087U,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:024-730-651-626-193,024-730-651-626-193
CN2884196Y,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:071-894-611-438-935,071-894-611-438-935
GB1418209A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:066-767-171-035-282,066-767-171-035-282
KR101528711B1,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:006-950-756-263-642,006-950-756-263-642
US2011-0132082A1,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:082-798-985-825-365,082-798-985-825-365
CN202503966U,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:063-366-746-820-550,063-366-746-820-550
CN106677771A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:020-416-073-596-736,020-416-073-596-736
CN202126033U,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:110-080-274-409-980,110-080-274-409-980
CN2703257Y,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:088-590-392-637-946,088-590-392-637-946
CN105157768A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:082-826-096-277-755,082-826-096-277-755
CN201010519Y,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:031-365-567-061-290,031-365-567-061-290
CN201569162U,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:134-101-603-425-713,134-101-603-425-713
CN201297252Y,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:095-642-492-326-382,095-642-492-326-382
CN205112911U,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:178-130-899-844-093,178-130-899-844-093
